group,number,index,name,WATER,CHOAVLM,STARCH,GLUS,FRUS,GALS,SUCS,MALS,LACS,TRES,CHOAVL,SORTL,MANTL,
group,number,index,name,water,choavlm,starch,glus,frus,gals,sucs,mals,lacs,tres,choavl,sortl,mantl,remark
1,1001,1,アマランサス 玄穀,13.5,63.5,56.4,Tr,Tr,-,1.3,0,0,0,57.8,-,-,
1,1002,2,あわ 精白粒,13.3,69.6,62.2,0,-,-,1,0.1,0,0,63.3,0,-,"うるち、もちを含む
 歩留り： 70～80 %"
1,1003,3,あわ あわもち,48,-44.5,-40.1,0,-,-,-0.4,(Tr),0,0,-40.5,-,-,"原材料配合割合： もちあわ50、もち米50
 01002あわ及び01151もち米から推計"
1,1004,4,えんばく オートミール,10,63.1,56.3,0,Tr,-,1,0,0,0,57.4,-,-,別名： オート、オーツ
1,1005,5,おおむぎ 七分つき押麦,14,-71.3,-64.4,(Tr),-0.1,0,-0.3,-0.1,0,0,-64.9,-,-,"歩留り： 玄皮麦60～65 %、玄裸麦65～70 %
 01006押麦から推計"
1,1006,6,おおむぎ 押麦 乾,12.7,72.4,65.4,Tr,0.1,Tr,0.3,0.1,0,0,65.8,-,-,歩留り： 玄皮麦45～55 %、玄裸麦55～65 %
1,1170,7,おおむぎ 押麦 めし,68.6,24.2,22,0,0,-,0,0,0,0,22,-,-,乾35 g相当量を含む
1,1007,8,おおむぎ 米粒麦,14,68.8,62.1,Tr,Tr,-,0.3,0.1,0,0,62.5,-,-,"別名： 切断麦
 白麦を含む
 歩留り： 玄皮麦40～50 %、玄裸麦50～60 %"
1,1008,9,おおむぎ 大麦めん 乾,14,-72.2,-65.3,(Tr),(Tr),0,-0.3,-0.1,0,0,-65.7,-,-,"原材料配合割合： 大麦粉 50、小麦粉 50
 01006押麦及び01019中力粉2等から推計"
1,1009,10,おおむぎ 大麦めん ゆで,70,-25.2,-22.8,0,(Tr),0,-0.1,(Tr),0,0,-22.9,-,-,"原材料配合割合： 大麦粉 50、小麦粉 50
 01006押麦及び01019中力粉2等から推計"
1,1010,11,おおむぎ 麦こがし,3.5,-80.1,-72.3,(Tr),-0.1,(Tr),-0.3,-0.1,0,0,-72.8,-,-,"別名： こうせん、はったい粉
 01006押麦から推計"
1,1167,12,キヌア 玄穀,12.2,60.7,52.3,0.7,0.1,0,2.3,0,-,-,55.4,-,-,
1,1011,13,きび 精白粒,13.8,71.5,64.5,0.1,-,-,0.5,0,0,0,65,0.1,-,"うるち、もちを含む
 歩留り： 70～80 %"
1,1012,14,こむぎ ［玄穀］ 国産 普通,12.5,64.3,57.5,0.1,0,-,0.9,0.1,0,0,58.5,-,-,
1,1013,15,こむぎ ［玄穀］ 輸入 軟質,10,68.4,61.1,0.1,0.1,-,1,0.1,0,0,62.2,-,-,
1,1014,16,こむぎ ［玄穀］ 輸入 硬質,13,62.6,56,Tr,Tr,-,0.8,0.1,0,0,57,-,-,
1,1015,17,こむぎ ［小麦粉］ 薄力粉 1等,14,80.3,72.7,Tr,Tr,-,0.3,0.1,0,0,73.1,-,-,
1,1016,18,こむぎ ［小麦粉］ 薄力粉 2等,14,77.7,70.2,Tr,Tr,-,0.4,0.1,0,0,70.7,-,-,
1,1018,19,こむぎ ［小麦粉］ 中力粉 1等,14,76.4,69.1,Tr,Tr,-,0.2,0.1,0,0,69.5,-,-,
1,1019,20,こむぎ ［小麦粉］ 中力粉 2等,14,73.1,66.1,Tr,Tr,-,0.3,0.1,0,0,66.5,-,-,
1,1020,21,こむぎ ［小麦粉］ 強力粉 1等,14.5,73.5,66.5,Tr,Tr,0,0.1,0.2,0,0,66.8,-,-,
1,1021,22,こむぎ ［小麦粉］ 強力粉 2等,14.5,70,63.2,Tr,Tr,-,0.3,0.1,0,0,63.6,-,-,
1,1023,23,こむぎ ［小麦粉］ 強力粉 全粒粉,14.5,-61.2,-55.3,(Tr),(Tr),0,-0.2,0,0,0,-55.6,-,-,米国成分表から推計
1,1146,24,こむぎ ［小麦粉］ プレミックス粉 お好み焼き用,9.8,74.1,63.6,0.3,0,0,3,0.6,0,-,67.6,-,-,
1,1024,25,こむぎ ［小麦粉］ プレミックス粉 ホットケーキ用,11.1,-78.6,-54.6,-3.5,-0.1,0,-12.9,-0.2,-1,0,-72.4,-,-,原材料配合割合から推計
1,1147,26,こむぎ ［小麦粉］ プレミックス粉 から揚げ用,8.3,69.4,57.5,0.9,0.1,0,2.1,2.4,0.4,-,63.4,-,-,
1,1025,27,こむぎ ［小麦粉］ プレミックス粉 天ぷら用,12.4,77.1,69.7,Tr,-,-,0.3,0.1,-,-,70.1,-,-,
